"instance","class"
"http://example.org/merged_ontology.owl#IAO_8000004","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_8000005","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_8000006","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_8000007","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_8000008","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_8000009","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_8000010","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_8000011","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_8000012","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_8000013","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_8000014","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_8000015","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_8000016","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_8000017","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_8000018","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_8000019","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IAO_8000020","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#Identification","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#IdentifiedBy","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#Kingdom","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#LivingSpecimen","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#Location","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#MachineObservation","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#MaterialCitation","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#MaterialSample","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#MeasurementOrFact","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_10239","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_117570","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_117571","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_131567","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_1338369","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_1437010","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_2","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_207598","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_2157","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_2759","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_314146","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_314293","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_314295","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_32523","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_32524","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_32525","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_33154","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_33208","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_33213","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_33511","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_376913","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_40674","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_6072","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_7711","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_7742","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_7776","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_8287","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_89593","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_9347","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_9443","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_9526","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_9604","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_9605","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#NCBITaxon_9606","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000011","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000047","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000067","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000070","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000079","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000094","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000112","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000185","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000245","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000272","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000419","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000441","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000453","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000639","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000659","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000671","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000678","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000681","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000684","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000740","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000744","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000806","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000811","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000832","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000845","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0000973","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0001010","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0001108","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0001137","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0001573","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0001912","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0001933","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0002076","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0003024","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0100010","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0100026","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0100051","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0100060","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0400103","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0600005","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0600024","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0600036","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0600047","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OBI_0666667","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#ObsoleteClass","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#Occurrence","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#OccurrenceMeasurement","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#Order","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#Organism","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#PCO_0000000","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#PCO_0000024","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#PCO_0000030","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#PCO_0000031","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#PCO_0001000","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#PR_000000001","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#Phylum","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#PreservedSpecimen","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#RecordedBy","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#ResourceRelationship","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#SO_0000001","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#Sample","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#SampleAttribute","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#SamplingEvent","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#SamplingLocation","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#ScientificName","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#Species","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#SpeciesKey","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#Subset","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#Synonym","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#SynonymType","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000000","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000001","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000002","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000003","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000004","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000005","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000006","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000007","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000008","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000009","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000010","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000011","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000012","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000013","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000014","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000015","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000016","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000017","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000018","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000019","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000020","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000021","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000022","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000023","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000024","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000025","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000026","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000027","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000028","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000029","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000030","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000031","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000032","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000033","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000034","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000035","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000036","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000037","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000038","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000039","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000040","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000041","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000042","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000043","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000044","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000045","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000046","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000047","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000048","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000049","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000050","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000051","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000052","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000053","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000054","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000055","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000056","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000057","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000058","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000059","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TAXRANK_0000060","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#Taxon","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#TaxonKey","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#Thing","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#UBERON_0000465","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#UBERON_0000477","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#VocabularyEncodingScheme","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#all","http://www.w3.org/2002/07/owl#Class"
"http://example.org/merged_ontology.owl#bco_0000000","http://www.w3.org/2002/07/owl#Class"
